日期,指数,收盘,开盘,最高,最低,成交量
2024-07-16,恒生指数,17727.98047,17845.06,17899.55,17727.98,9232395477
2024-07-17,恒生指数,17739.41016,17741.77,17807.68,17658.68,10400175184
2024-07-18,恒生指数,17778.41016,17653.23,17864.12,17623.74,8608860658
2024-07-19,恒生指数,17417.67969,17603.8,17629.97,17376.23,10738648620
2024-07-22,恒生指数,17635.88086,17465.13,17693.35,17313.88,9385972819
2024-07-23,恒生指数,17469.35938,17679.55,17707.68,17451.86,8150560945
2024-07-24,恒生指数,17311.04883,17454.43,17516.95,17251.26,8907376578
2024-07-25,恒生指数,17004.96875,17260.83,17288.46,16964.52,10462241132
2024-07-26,恒生指数,17021.31055,17079.67,17229.19,16924.58,8453533560
2024-07-29,恒生指数,17238.33984,17196.45,17358.66,17154.12,8379716052
2024-07-30,恒生指数,17002.91016,17194.37,17194.37,16971.6,10205755283
2024-07-31,恒生指数,17344.59961,17070.86,17400.24,17015.83,14021348214
2024-08-01,恒生指数,17304.96094,17327.85,17408.95,17248.12,9124739003
2024-08-02,恒生指数,16945.50977,17025.26,17075.52,16865.93,8925022447
2024-08-05,恒生指数,16698.35938,16676.82,16944.59,16441.44,12809124790
2024-08-06,恒生指数,16647.33984,16861.3,16908.97,16611.14,9286662308
2024-08-07,恒生指数,16877.85938,16684.78,16988.26,16684.78,9054548010
2024-08-08,恒生指数,16891.83008,16773.04,17023.1,16665.06,8677628336
2024-08-09,恒生指数,17090.23047,17097.36,17252.22,17079.35,10123582886
2024-08-12,恒生指数,17111.65039,17102.98,17162.76,17002.93,7502960245
2024-08-13,恒生指数,17174.06055,17160.21,17252.88,17074.69,7596932389
2024-08-14,恒生指数,17113.35938,17233.68,17254.23,17055.7,6474310978
2024-08-15,恒生指数,17109.13867,17008.21,17283.65,16926.47,8230117094
2024-08-16,恒生指数,17430.16016,17286.04,17473.89,17255.86,7927453170
2024-08-19,恒生指数,17569.57031,17569.66,17685.86,17547.65,9313427063
2024-08-20,恒生指数,17511.08008,17661.69,17661.69,17449.99,7447003914
2024-08-21,恒生指数,17391.00977,17313.86,17415.48,17232.13,8253964846
2024-08-22,恒生指数,17641.0,17497.63,17652.8,17389.94,9736065321
2024-08-23,恒生指数,17612.09961,17521.18,17635.7,17493.08,7380059995
2024-08-26,恒生指数,17798.73047,17709.27,17826.05,17709.27,8330380400
2024-08-27,恒生指数,17874.66992,17663.8,17879.27,17624.42,9165270480
2024-08-28,恒生指数,17692.44922,17847.99,17879.01,17659.29,8803648260
2024-08-29,恒生指数,17786.32031,17614.41,17797.17,17502.53,11710621982
2024-08-30,恒生指数,17989.07031,17794.41,18202.6,17778.1,17507635945
2024-09-02,恒生指数,17691.96875,17862.59,17862.59,17645.92,9978668028
2024-09-03,恒生指数,17651.49023,17665.93,17725.51,17583.7,12837076253
2024-09-04,恒生指数,17457.33984,17474.74,17531.05,17333.3,9945861924
2024-09-05,恒生指数,17444.30078,17469.96,17555.61,17332.49,9673212539
2024-09-09,恒生指数,17196.96094,17261.89,17305.91,17067.45,13036556184
2024-09-10,恒生指数,17234.08984,17205.42,17297.95,17133.5,11237387966
2024-09-11,恒生指数,17108.71094,17051.84,17124.96,16964.28,11655105682
